"Question","Correct Answer","Wrong 1","Wrong 2"
"Çantayı almalısın.","You should buy the bag.","You should to buy the bag.","You must to buy the bag."
"Arabalar durmalıydı.","The cars should have stopped.","The cars should had stopped.","The cars should to have stopped."
"Öğrenciler çalışmalı.","The students should study.","The students should to study.","The students should studied."
"Kapıyı açmamalısın.","You shouldn't open the door.","You don't should open the door.","You shouldn't to open the door."
"Pilot motoru kontrol etmeliydi.","The pilot should have checked the engine.","The pilot should had checked the engine.","The pilot should to have checked the engine."
"Arabayı tamir etmeli miyim?","Should I repair the car?","Do I should repair the car?","Should I to repair the car?"
"Herkes sesi duymalıydı.","Everybody should have heard the noise.","Everybody should had heard the noise.","Everybody should to have heard the noise."
"Anahtarı almalıydın.","You should have taken the key.","You should had taken the key.","You should to have taken the key."
"Doktor gelmeli.","The doctor should come.","The doctor should to come.","The doctor should comes."
"Parayı saymamalıydın.","You shouldn't have counted the money.","You shouldn't had counted the money.","You shouldn't to have counted the money."
"Hemşire kan almalı.","The nurse should take blood.","The nurse should to take blood.","The nurse should takes blood."
"Su içmeli miyiz?","Should we drink water?","Do we should drink water?","Should we to drink water?"
"Polis ambulansı aramalıydı.","The police should have called the ambulance.","The police should had called the ambulance.","The police should to have called the ambulance."
"Öğrenciler dinlemeli.","The students should listen.","The students should to listen.","The students should listened."
"Modemi değiştirmeliyiz.","We should change the modem.","We should to change the modem.","We should changed the modem."
"Toplantıda beklemeli miydik?","Should we have waited in the meeting?","Did we should have waited in the meeting?","Should we had waited in the meeting?"
"Öğretmen kitabı okumalı.","The teacher should read the book.","The teacher should to read the book.","The teacher should reads the book."
"Kahvaltıyı iptal etmeli miyiz?","Should we cancel the breakfast?","Do we should cancel the breakfast?","Should we to cancel the breakfast?"
"Şifreyi söylememeliydin.","You shouldn't have told the password.","You shouldn't had told the password.","You shouldn't to have told the password."
"Işığı görmelisin.","You should see the light.","You should to see the light.","You should saw the light."
