"Question","Correct Answer","Wrong 1","Wrong 2"
"Geçen yıldan beri pilot uçağı kontrol etmemişti.","The pilot hadn't checked the plane since last year.","The pilot hasn't checked the plane since last year.","The pilot hadn't check the plane since last year."
"Yoğun kanamaya rağmen doktor hastayı kurtarabildi.","The doctor could save the patient despite the heavy bleeding.","The doctor could to save the patient despite the heavy bleeding.","The doctor could saved the patient despite the heavy bleeding."
"Kitabı okurken öğrenci hatayı bulabildi.","The student could find the mistake while reading the book.","The student could to find the mistake while reading the book.","The student could found the mistake while reading the book."
"Gece yarısında hemşire kapıyı kilitliyordu.","The nurse was locking the door at midnight.","The nurse was lock the door at midnight.","The nurse locking the door at midnight."
"Toplantıdan sonra avukat parayı saydı.","The lawyer counted the money after the meeting.","The lawyer did counted the money after the meeting.","The lawyer was count the money after the meeting."
"Kötü internetten dolayı modemi tamir etmiştik.","We'd repaired the modem due to the bad internet.","We'd repair the modem due to the bad internet.","We've repaired the modem due to the bad internet."
"Dersten önce öğrenciler koridorda beklemek zorundaydı.","The students had to wait in the corridor before the lesson.","The students musted to wait in the corridor before the lesson.","The students had to waited in the corridor before the lesson."
"On Beş Mayıs'ta polis şifreyi değiştirmişti.","The police had changed the password on May 15th.","The police has changed the password on May 15th.","The police had change the password on May 15th."
"Akşama kadar doktorlar hasta muayene ederdi.","The doctors used to examine patients until evening.","The doctors use to examine patients until evening.","The doctors were used to examine patients until evening."
"Kışın bankacı arabayı satmadı.","The banker didn't sell the car in winter.","The banker didn't selled the car in winter.","The banker not sell the car in winter."
"Trafiğe rağmen şoför dikkatli olmalıydı.","The driver should've been careful despite the traffic.","The driver should've be careful despite the traffic.","The driver should had been careful despite the traffic."
"Arabayı park ederken şoför radyoyu kapattı.","The driver turned off the radio while parking the car.","The driver did turned off the radio while parking the car.","The driver turn off the radio while parking the car."
"Fırtınadan dolayı pilotlar uçuşu iptal etmek zorunda kaldı.","The pilots had to cancel the flight due to the storm.","The pilots musted to cancel the flight due to the storm.","The pilots had to canceled the flight due to the storm."
"Pazartesi günü doktorlar çalışmak zorundaydı.","The doctors had to work on Monday.","The doctors musted to work on Monday.","The doctors had to worked on Monday."
"Ameliyattan sonra hemşire odayı temizlemişti.","The nurse had cleaned the room after the surgery.","The nurse has cleaned the room after the surgery.","The nurse had clean the room after the surgery."
"Cuma gününe kadar polis hastanede beklemişti.","The police had waited in the hospital until Friday.","The police has waited in the hospital until Friday.","The police had wait in the hospital until Friday."
"Saat beşte öğretmen ödev verdi.","The teacher gave homework at five o'clock.","The teacher gived homework at five o'clock.","The teacher did gave homework at five o'clock."
"İki bin yirmi yılında bankalar eski para kabul etmeliydi.","The banks should've accepted old money in 2020.","The banks should've accept old money in 2020.","The banks should had accepted old money in 2020."
"Sabah saatlerinden beri öğretmen sınavları hazırlamıştı.","The teacher had prepared the exams since morning.","The teacher has prepared the exams since morning.","The teacher had prepare the exams since morning."
"Kazadan dolayı toplantıyı iptal etmek zorundaydık.","We had to cancel the meeting due to the accident.","We had to canceled the meeting due to the accident.","We musted to cancel the meeting due to the accident."
