"Question","Correct Answer","Wrong 1","Wrong 2"
"Çok çalıştığından dolayı hemşire yoruluyor.","The nurse is getting tired because she works a lot.","The nurse getting tired because she works a lot.","The nurse are getting tired because she works a lot."
"Parayı kaybettiğinde avukat üzüldü.","The lawyer got sad when he lost the money.","The lawyer getted sad when he lost the money.","The lawyer got sad when he losed the money."
"Arabayı sattıktan sonra bankacı zenginleşti.","The banker got rich after he sold the car.","The banker did got rich after he sold the car.","The banker got rich after he selled the car."
"Hava soğuyor, bu yüzden pilot ceket giyiyor.","The weather is getting cold, so the pilot is wearing a jacket.","The weather getting cold, so the pilot wearing a jacket.","The weather are getting cold, so the pilot are wearing a jacket."
"Öğrenciler çalışmadığı için öğretmen sinirlendi.","The teacher got angry because the students didn't study.","The teacher got angry because the students didn't studied.","The teacher got angry because the students weren't study."
"Bütün gün araba sürdüğünde şoför acıkır.","The driver gets hungry when he drives all day.","The driver get hungry when he drives all day.","The driver does gets hungry when he drives all day."
"Hastane soğuk olduğu için doktor hastalandı.","The doctor got sick because the hospital was cold.","The doctor getted sick because the hospital was cold.","The doctor got sick because the hospital were cold."
"Çok fazla yediğinden dolayı köpek şişmanlıyor.","The dog is getting fat because it eats too much.","The dog getting fat because it eats too much.","The dog are getting fat because it eats too much."
"Sistem bozulduğunda patron epey çılgınlaştı.","The boss got quite crazy when the system broke.","The boss got quite crazy when the system breaked.","The boss did got quite crazy when the system broke."
"Beklerken polis susadı.","The police got thirsty while they were waiting.","The police got thirsty while they was waiting.","The police got thirsty while they waiting."
"Ders uzun olduğu için öğrenciler sıkılıyor.","The students are getting bored because the lesson is long.","The students is getting bored because the lesson is long.","The students are getting bored because the lesson are long."
"Hemşire ilacı verdikten sonra hasta iyileşti.","The patient got better after the nurse gave the medicine.","The patient did got better after the nurse gave the medicine.","The patient got better after the nurse gived the medicine."
"Geç kalıyoruz, bu yüzden şoför hızlı sürüyor.","We are getting late, so the driver is driving fast.","We getting late, so the driver driving fast.","We is getting late, so the driver is driving fast."
"Yağmur yağdığında araba kirlenir.","The car gets dirty when it rains.","The car get dirty when it rains.","The car is get dirty when it rains."
"Kumar oynadığı için adam fakirleşiyor.","The man is getting poor because he gambles.","The man getting poor because he gambles.","The man are getting poor because he gambles."
"Sınava girmeden önce öğrenciler heyecanlanır.","The students get nervous before they take the exam.","The students gets nervous before they take the exam.","The students are get nervous before they take the exam."
"Ders başlamadan önce öğretmen hazırlandı.","The teacher got ready before the lesson started.","The teacher getted ready before the lesson started.","The teacher got ready before the lesson start."
"Hava kararıyor, bu yüzden pilot radarı kontrol ediyor.","It is getting dark, so the pilot is checking the radar.","It getting dark, so the pilot checking the radar.","It are getting dark, so the pilot are checking the radar."
"İnternet kötüleşiyor, bu yüzden modemi tamir etmeliyiz.","The internet is getting bad, so we must repair the modem.","The internet getting bad, so we must repair the modem.","The internet are getting bad, so we must repair the modem."
"Yıllarca çalıştıktan sonra doktor yaşlandı.","The doctor got old after he worked for many years.","The doctor did got old after he worked for many years.","The doctor got old after he work for many years."
