"Question","Correct Answer","Wrong 1","Wrong 2"
"O güzel. (Şu an)","She is beautiful.","She beautiful.","She are beautiful."
"Biz zengindik.","We were rich.","We was rich.","We did rich."
"Onlar aç olacaklar.","They will be hungry.","They will hungry.","They will to be hungry."
"Ben yorgunum.","I am tired.","I is tired.","I tired."
"O hazır değil.","He is not ready.","He don't ready.","He not ready."
"Sen mutlu musun?","Are you happy?","Do you happy?","You are happy?"
"Hava soğuktu.","It was cold.","It were cold.","It cold."
"Onlar evde değildi.","They were not at home.","They was not at home.","They didn't at home."
"O hasta mıydı?","Was she sick?","Did she sick?","Were she sick?"
"Sen ünlü olacaksın.","You will be famous.","You will famous.","You will to be famous."
"O geç kalmayacak. (O geç olmayacak)","He won't be late.","He won't late.","He won't to be late."
"Yemek sıcak olacak mı?","Will the food be hot?","Will the food hot?","Will the food to be hot?"
"Araba hızlıdır.","The car is fast.","The car are fast.","The car fast."
"Arkadaşlarım meşgul değil.","My friends aren't busy.","My friends isn't busy.","My friends don't busy."
"Bu zor mu?","Is this difficult?","Does this difficult?","Are this difficult?"
"Film sıkıcıydı.","The movie was boring.","The movie were boring.","The movie did boring."
"Biz kızgın değildik.","We weren't angry.","We wasn't angry.","We didn't angry."
"Sorular kolay mıydı?","Were the questions easy?","Was the questions easy?","Did the questions easy?"
"Hava güzel olacak.","The weather will be nice.","The weather will nice.","The weather will to be nice."
"Yarın müsait olacak mısın?","Will you be free tomorrow?","Will you free tomorrow?","Will you to be free tomorrow?"
