"Question","Correct Answer","Wrong 1","Wrong 2"
"Şoför arabayı hızlı bir şekilde park etti.","The driver parked the car in a fast way.","The driver parked the car in a fastly way.","The driver did parked the car in a fast way."
"Doktor kanı durdurarak hastayı kurtardı.","The doctor saved the patient by stopping the blood.","The doctor saved the patient by stop the blood.","The doctor saved the patient by to stop the blood."
"Hemşire hastayla dostane bir şekilde konuştu.","The nurse talked to the patient in a friendly way.","The nurse talked to the patient in a friend way.","The nurse did talked to the patient in a friendly way."
"Öğretmen kitabı okuyarak hatayı buldu.","The teacher found the mistake by reading the book.","The teacher finded the mistake by reading the book.","The teacher found the mistake by read the book."
"Öğrenciler sorulara aptalca bir şekilde cevap verdi.","The students answered the questions in a silly way.","The students answered the questions in a sillily way.","The students answer the questions in a silly way."
"Anahtarı kullanarak kapıyı açabilirsin.","You can open the door by using the key.","You can to open the door by using the key.","You can open the door by use the key."
"Öğretmen öğrencilere sert bir şekilde baktı.","The teacher looked at the students in a hard way.","The teacher looked at the students in a hardly way.","The teacher looked at the students by a hard way."
"Bankacı parayı sessiz bir şekilde saydı.","The banker counted the money in a quiet way.","The banker counted the money in a quietly way.","The banker did counted the money in a quiet way."
"Bankacı müşteriyi arayarak problemi çözdü.","The banker solved the problem by calling the customer.","The banker solved the problem by call the customer.","The banker solved the problem to calling the customer."
"Pilot motoru dikkatli bir şekilde kontrol etti.","The pilot checked the engine in a careful way.","The pilot checked the engine in a carefully way.","The pilot did checked the engine in a careful way."
"Hemşire ilacı vererek hastaya yardım etti.","The nurse helped the patient by giving the medicine.","The nurse helped the patient by give the medicine.","The nurse helped the patient by gived the medicine."
"Polis trafiği ani bir şekilde durdurdu.","The police stopped the traffic in a sudden way.","The police stopped the traffic in a suddenly way.","The police stop the traffic in a sudden way."
"Pilot radarı kontrol ederek uçağı indirdi.","The pilot landed the plane by checking the radar.","The pilot landed the plane by check the radar.","The pilot did landed the plane by checking the radar."
"Doktor test sonuçlarını basit bir şekilde açıkladı.","The doctor explained the test results in a simple way.","The doctor explained the test results in a simply way.","The doctor explain the test results in a simple way."
"Polis arabada bekleyerek hırsızı yakaladı.","The police caught the thief by waiting in the car.","The police catched the thief by waiting in the car.","The police caught the thief by wait in the car."
"Avukat arabayı zekice bir şekilde sattı.","The lawyer sold the car in a clever way.","The lawyer selled the car in a clever way.","The lawyer sold the car in a cleverly way."
"Şoför soğuk su kullanarak arabayı yıkadı.","The driver washed the car by using cold water.","The driver washed the car by use cold water.","The driver did washed the car by using cold water."
"Öğrenci kapıyı yavaş bir şekilde kapattı.","The student closed the door in a slow way.","The student closed the door in a slowly way.","The student close the door in a slow way."
"Sistemi yeniden başlatarak şifreyi değiştirdik.","We changed the password by restarting the system.","We changed the password by restart the system.","We changed the password by restarted the system."
"Öğretmen tahtayı kullanarak konuyu anlattı.","The teacher explained the topic by using the board.","The teacher explained the topic by use the board.","The teacher did explained the topic by using the board."
