Turkish,Correct English,Fake Option 1,Fake Option 2
Taksi çağırdılar.,They called a taxi,They call a taxi,They are call a taxi
Modemi tamir edecek misin?,Will you repair the modem?,Do you repair the modem?,Are you repair the modem?
Kapıyı kapatmadı.,She didn't close the door,She didn't closed the door,She doesn't close the door
Pizza yemem.,I don't eat pizza,I doesn't eat pizza,I am not eat pizza
Parayı sayar mısın?,Do you count the money?,Are you count the money?,Does you count the money?
Telefonu tamir edecek mi?,Will she repair the telephone?,Do she repair the telephone?,Does she repair the telephone?
Anahtarları unuttular mı?,Did they forget the keys?,Did they forgot the keys?,Were they forget the keys?
Kilidi açmayacak.,She won't open the lock,She doesn't open the lock,She not open the lock
Araba satmayacağız.,We won't sell cars,We aren't sell cars,We don't sell cars
Yemek getirmeyeceksin.,You won't bring food,You don't bring food,You aren't bring food
Belgeleri inceledik.,We examined the documents,We examine the documents,We are examine the documents
Öğrencileri sayarsın.,You count the students,You are count the students,You counting the students
Kahvaltı hazırlayacak mı?,Will she prepare breakfast?,Do she prepare breakfast?,Is she prepare breakfast?
Müşteri gömleği geri verdi.,The customer returned the shirt,The customer return the shirt,The customer was return the shirt
Pilot uçağı kontrol edecek.,The pilot will check the plane,The pilot checking the plane,The pilot is check the plane
Hemşire kan almadı.,The nurse didn't take blood,The nurse didn't took blood,The nurse don't take blood
Müdür hataları saydı.,The manager counted the mistakes,The manager count the mistakes,The manager was count the mistakes
Polis arabaları durduracak.,The police will stop the cars,The police stopping the cars,The police is stop the cars
Modemi kontrol ederler.,They control the modem,They are control the modem,They controls the modem
Şifreyi değiştirecek miyiz?,Will we change the password?,Do we change the password?,Are we change the password?
