"Question","Correct Answer","Wrong 1","Wrong 2"
"Polis bankadan çalınan parayı buldu.","The police found the money stolen from the bank.","The police found the money steal from the bank.","The police finded the money stolen from the bank."
"Şoför uyuyan köpeği görmedi.","The driver didn't see the sleeping dog.","The driver didn't saw the sleeping dog.","The driver didn't see the sleeped dog."
"Patron şoför tarafından yıkanan arabayı beğendi.","The boss liked the car washed by the driver.","The boss liked the car washing by the driver.","The boss did liked the car washed by the driver."
"Ağlayan öğrenci öğretmeni aradı.","The crying student called the teacher.","The cried student called the teacher.","The crying student did called the teacher."
"Hastanede bekleyen hastalar epey çılgınlaştı.","The patients waiting in the hospital got quite crazy.","The patients waited in the hospital got quite crazy.","The patients waiting in the hospital did got quite crazy."
"Biz tamir edilen modemi kullanacağız.","We will use the repaired modem.","We will use the repairing modem.","We will to use the repaired modem."
"Doktor hemşire tarafından kilitlenen kapıyı açamadı.","The doctor couldn't open the door locked by the nurse.","The doctor couldn't open the door locking by the nurse.","The doctor couldn't to open the door locked by the nurse."
"Muayene eden doktor bir soru sordu.","The examining doctor asked a question.","The examined doctor asked a question.","The examining doctor did asked a question."
"Bankacı avukat tarafından satılan arabayı aldı.","The banker bought the car sold by the lawyer.","The banker buyed the car sold by the lawyer.","The banker bought the car selled by the lawyer."
"Bekleyen hastalar sinirlendi.","The waiting patients got angry.","The waited patients got angry.","The waiting patients getted angry."
"Polis çalınan parayı buldu.","The police found the stolen money.","The police found the stealing money.","The police finded the stolen money."
"Koridorda ağlayan öğrenci öğretmeni aradı.","The student crying in the corridor called the teacher.","The student cried in the corridor called the teacher.","The student crying in the corridor call the teacher."
"Patron yıkanan arabayı beğendi.","The boss liked the washed car.","The boss liked the washing car.","The boss did liked the washed car."
"Şoför yolda uyuyan köpeği görmedi.","The driver didn't see the dog sleeping on the road.","The driver didn't see the dog sleeped on the road.","The driver didn't saw the dog sleeping on the road."
"Hemşire kilitli kapıyı açamadı.","The nurse couldn't open the locked door.","The nurse couldn't open the locking door.","The nurse couldn't opened the locked door."
"Odada çalışan doktorlar telefona cevap vermedi.","The doctors working in the room didn't answer the phone.","The doctors worked in the room didn't answer the phone.","The doctors working in the room didn't answered the phone."
"Avukat satılan arabayı sürdü.","The lawyer drove the sold car.","The lawyer drived the sold car.","The lawyer drove the selling car."
"Kan testini inceleyen doktor bir soru sordu.","The doctor examining the blood test asked a question.","The doctor examined the blood test asked a question.","The doctor examining the blood test ask a question."
"Biz teknisyen tarafından tamir edilen modemi kullanacağız.","We will use the modem repaired by the technician.","We will use the modem repairing by the technician.","We will to use the modem repaired by the technician."
"Çalışan doktorlar telefona cevap vermedi.","The working doctors didn't answer the phone.","The worked doctors didn't answer the phone.","The working doctors didn't answered the phone."
