"Question","Correct Answer","Wrong 1","Wrong 2"
"Parası yoktu ama çantayı aldı.","She had no money, but she bought the bag.","She didn't had no money, but she bought the bag.","She had no money, but she did bought the bag."
"Yolda buz vardı, bu yüzden arabalar durmak zorunda kaldı.","There was ice on the road, so the cars had to stop.","There had ice on the road, so the cars had to stop.","There was ice on the road, so the cars had stop."
"Öğrenciler çalışmadı, bu yüzden sınavı bitiremediler.","The students didn't study, so they couldn't finish the exam.","The students didn't studied, so they couldn't finish the exam.","The students not study, so they couldn't finish the exam."
"Kapıyı açmak zorundasın, yoksa giremeyiz.","You have to open the door, otherwise we can't enter.","You have open the door, otherwise we can't enter.","You have to opened the door, otherwise we can't enter."
"Pilot motoru kontrol etti ve uçağı uçurdu.","The pilot checked the engine and he flew the plane.","The pilot check the engine and he flew the plane.","The pilot did checked the engine and he flew the plane."
"Arabayı satacak mısın yoksa tamir edecek misin?","Will you sell the car, or will you repair it?","Will you sell the car, or you will repair it?","Will you to sell the car, or will you repair it?"
"Kimse kazayı görmedi ama herkes sesi duydu.","Nobody saw the accident, but everybody heard the noise.","Nobody didn't see the accident, but everybody heard the noise.","Nobody saw the accident, but everybody did heard the noise."
"Anahtarım yoktu, bu yüzden kapıyı açamadım.","I had no key, so I couldn't open the door.","I didn't had no key, so I couldn't open the door.","I had no key, so I couldn't opened the door."
"Doktorlar gelmek zorunda, yoksa hasta ölecek.","The doctors have to come, otherwise the patient will die.","The doctors have come, otherwise the patient will die.","The doctors have to come, otherwise the patient will to die."
"Önce parayı sayarsın, sonra bileti verirsin.","First you count the money, then you give the ticket.","First you to count the money, then you give the ticket.","First you count the money, then you to give the ticket."
"Hemşireler meşguldü ama kan alabildiler.","The nurses were busy, but they could take blood.","The nurses were busy, but they could took blood.","The nurses were busy, but they could to take blood."
"Bir şey yemedik ve kimse su içmedi.","We ate nothing, and nobody drank water.","We did ate nothing, and nobody drank water.","We ate nothing, and nobody did drank water."
"Polis trafiği durdurdu, sonra ambulansı aradı.","The police stopped the traffic, then called the ambulance.","The police stop the traffic, then called the ambulance.","The police did stopped the traffic, then called the ambulance."
"Öğrenciler dinlemek zorunda, yoksa öğrenemezler.","The students have to listen, otherwise they can't learn.","The students have listen, otherwise they can't learn.","The students have to listened, otherwise they can't learn."
"Modemi tamir edebiliriz veya yenisini alabiliriz.","We can repair the modem, or we can buy a new one.","We can to repair the modem, or we can buy a new one.","We can repair the modem, or we can to buy a new one."
"Toplantıda kimse yoktu, bu yüzden beklemek zorunda kaldık.","There was nobody in the meeting, so we had to wait.","There had nobody in the meeting, so we had to wait.","There was nobody in the meeting, so we had wait."
"Öğretmen kitabı okudu ve soruyu sordu.","The teacher read the book and asked the question.","The teacher read the book and ask the question.","The teacher read the book and did asked the question."
"Herkes gelmek zorunda mı, yoksa evde kalabilirler mi?","Does everybody have to come, or can they stay at home?","Does everybody have come, or can they stay at home?","Does everybody have to come, or they can stay at home?"
"Işık yoktu, bu yüzden bir şey göremedim.","There was no light, so I saw nothing.","There had no light, so I saw nothing.","There was no light, so I did saw nothing."
"Şifreyi değiştirecekler ama bize söylemeyecekler.","They will change the password, but they will tell us nothing.","They will to change the password, but they will tell us nothing.","They will change the password, but they will to tell us nothing."
