"Question","Correct Answer","Wrong 1","Wrong 2"
"Sen interneti kullanabilesin diye şifreyi paylaşıyorum.","I am sharing the password so that you can use the internet.","I am sharing the password so that you could use the internet.","I am sharing the password so that you can to use the internet."
"Öğrenciler sınava çalışmak için kitap aldı.","The students bought books in order to study for the exam.","The students buyed books in order to study for the exam.","The students bought books in order to studying for the exam."
"Doktor kan testini inceleyebilsin diye hemşire masayı temizledi.","The nurse cleaned the table so that the doctor could examine the blood test.","The nurse cleaned the table so that the doctor can examine the blood test.","The nurse cleaned the table so that the doctor could to examine the blood test."
"Şoför arabayı satmak için yıkadı.","The driver washed the car in order to sell it.","The driver washed the car in order sell it.","The driver washed the car in order to selling it."
"Öğrenci kitabı okuyabilsin diye öğretmen kitabı verdi.","The teacher gave the book so that the student could read it.","The teacher gived the book so that the student could read it.","The teacher gave the book so that the student can read it."
"Polis ambulansa yardım etmek için trafiği durdurdu.","The police stopped the traffic in order to help the ambulance.","The police stop the traffic in order to help the ambulance.","The police stopped the traffic in order to helping the ambulance."
"Biz kapıyı açabilelim diye şoför anahtarları getirdi.","The driver brought the keys so that we could open the door.","The driver bringed the keys so that we could open the door.","The driver brought the keys so that we can open the door."
"Bankacı parayı saymak için işte kaldı.","The banker stayed at work in order to count the money.","The banker stayed at work in order count the money.","The banker stayed at work in order to counting the money."
"Ambulans hızlı varabilsin diye devlet trafiği kontrol ediyor.","The government controls the traffic so that the ambulance can arrive fast.","The government controls the traffic so that the ambulance could arrive fast.","The government controls the traffic so that the ambulance can to arrive fast."
"Pilot uçağı güvenli uçurmak için motoru kontrol etti.","The pilot checked the engine in order to fly the plane safely.","The pilot checked the engine in order fly the plane safely.","The pilot checked the engine in order to flying the plane safely."
"Avukat evi alabilsin diye bankacı parayı gönderecek.","The banker will send the money so that the lawyer can buy the house.","The banker will send the money so that the lawyer could buy the house.","The banker will send the money so that the lawyer can to buy the house."
"Doktor hemşireyle konuşmak için hastaneyi aradı.","The doctor called the hospital in order to talk to the nurse.","The doctor call the hospital in order to talk to the nurse.","The doctor called the hospital in order to talking to the nurse."
"Öğretmen sınava başlayabilsin diye öğrenciler bekliyor.","The students are waiting so that the teacher can start the exam.","The students are waiting so that the teacher could start the exam.","The students are waiting so that the teacher can to start the exam."
"Avukat şifreyi değiştirmek için bilgisayarı kullandı.","The lawyer used the computer in order to change the password.","The lawyer did used the computer in order to change the password.","The lawyer used the computer in order to changing the password."
"Teknisyen motoru tamir edebilsin diye pilot problemi açıkladı.","The pilot explained the problem so that the technician could fix the engine.","The pilot explained the problem so that the technician can fix the engine.","The pilot explained the problem so that the technician could to fix the engine."
"İnterneti kullanmak için modemi tamir ettik.","We repaired the modem in order to use the internet.","We repaired the modem in order use the internet.","We repaired the modem in order to using the internet."
"Hasta iyileşebilsin diye doktor ilaç yazdı.","The doctor prescribed medicine so that the patient could get well.","The doctor prescribed medicine so that the patient can get well.","The doctor prescribed medicine so that the patient could to get well."
"Öğretmen dersi hazırlamak için kitabı okudu.","The teacher read the book in order to prepare the lesson.","The teacher readed the book in order to prepare the lesson.","The teacher read the book in order to preparing the lesson."
"Şoför arabayı park edebilsin diye polis yolu açtı.","The police opened the road so that the driver could park the car.","The police opened the road so that the driver can park the car.","The police opened the road so that the driver could to park the car."
"Hemşire odayı temizlemek için kapıyı kilitledi.","The nurse locked the door in order to clean the room.","The nurse lock the door in order to clean the room.","The nurse locked the door in order to cleaning the room."
