Turkish,Correct English,Fake Option 1,Fake Option 2
Kimse avukatın arabayı neden sattığını anlayamadı.,Nobody could understand why the lawyer sold the car.,Nobody can understand why the lawyer sold the car.,Nobody could to understand why the lawyer sold the car.
Onların partiye gelip gelmeyeceğini bilmiyorum.,I don't know if they will come to the party.,I don't know if they are going come to the party.,I don't know if they will coming to the party.
Onun arabasını değiştirdiğini öğrendik.,We learned that she changed her car.,We learned that she changed her car. isn't it?,We learned that she changed her car.
Modemi nasıl açtıklarını öğreneceğiz.,We will learn how they open the modem.,We will to learn how they open the modem.,We are going learn how they open the modem.
"Hemşire, hastanın su isteyip istemediğini kontrol etti.",The nurse checked if the patient wanted water.,The nurse checked if a patient wanted water.,The nurse checked if the patient wanted water. isn't it?
Bankacının parayı nereye sakladığını bilmiyoruz.,We don't know where the banker hid the money.,We doesn't know where the banker hid the money.,We aren't know where the banker hid the money.
Öğrenciler sınavın ne zaman başlayacağını sordu.,The students asked when the exam would start.,The students asked when the exam would start. isn't it?,The students asked when a exam would start.
Teknisyenin modemi tamir edip edemeyeceğini göreceğiz.,We will see if the technician can repair the modem.,We will see if the technician can to repair the modem.,We will seing if the technician can repair the modem.
"Patron, şifreyi kimin değiştirdiğini öğrenmek istiyor.",The boss wants to learn who changed the password.,The boss wants to learn who changed the password. isn't it?,The boss wants to learn who changed a password.
Pilotun uçağı indirip indiremeyeceğini merak ediyoruz.,We wonder if the pilot can land the plane.,We wonder if the pilot can to land the plane.,We wonder if the pilot is can land the plane.
Hemşirenin hastaya ne verdiğini gördüm.,I saw what the nurse gave to the patient.,I saw what a nurse gave to a patient.,I saw what the nurse gave to the patient. isn't it?
"Şoför, arabayı yıkayıp yıkamadığını hatırlamıyor.",The driver doesn't remember if he washed the car.,The driver doesn't remember if he washed the car. isn't it?,The driver doesn't remember if he washed a car.
"Öğretmen, öğrencilerin çalışmadığını biliyordu.",The teacher knew that the students didn't study.,The teacher knew that the students doesn't study.,The teacher knew that the students wasn't study.
"Polis, şoförün kapıyı nasıl açtığını buldu.",The police found out how the driver opened the door.,The police found out how a driver opened a door.,The police found out how the driver opened the door. isn't it?
"Doktor, hastanın ateşi olup olmadığını sordu.",The doctor asked if the patient had a fever.,The doctor asked if the patient was a fever.,The doctor asked if the patient have a fever.
"Onlar, öğretmenin ne soracağını tartışıyor.",They are discussing what the teacher will ask.,They are discussing what the teacher will to ask.,They are discussing what the teacher will asking.
Bankaların eski para kabul edip etmediğinden emin değilim.,I'm not sure if the banks accept old money.,I'm not sure if a banks accept old money.,I'm not sure if the banks accept old money. isn't it?
Yumurta neden sevmediğini açıklayamadı.,She couldn't explain why she didn't like eggs.,She couldn't explain why she didn't liked eggs.,She couldn't explain why she wasn't like eggs.
Öğrenciler öğretmenin ödev verip vermeyeceğini merak ediyor.,The students wonder if the teacher will give homework.,The students wonder if the teacher are going give homework.,The students wonder if the teacher will to give homework.
"Polis, patronun epey çılgın olduğunu gördü.",The police saw that the boss was quite crazy.,The police saw that the boss were quite crazy.,The police saw that the boss is quite crazy.
