"Question","Correct Answer","Wrong 1","Wrong 2"
"Öğrenci parayı sayabilir mi?","Can the student count the money?","Does the student can count the money?","Can the student counts the money?"
"Biri kapıyı açabilir mi?","Could somebody open the door?","Could somebody opened the door?","Could somebody to open the door?"
"Hemşire makineyi tamir edemez.","The nurse can't repair the machine.","The nurse doesn't can repair the machine.","The nurse can't repairs the machine."
"Herkes bilet alabilecek mi?","Will everybody be able to buy tickets?","Will everybody be able to bought tickets?","Are everybody be able to buy tickets?"
"Hiç kimse arabayı satamaz.","Nobody can sell the car.","Nobody can sells the car.","Nobody doesn't can sell the car."
"Polis birini gönderebilir mi?","Could the police send somebody?","Could the police sent somebody?","Did the police could send somebody?"
"Pilot uçağı uçuramadı.","The pilot couldn't fly the plane.","The pilot didn't could fly the plane.","The pilot wasn't fly the plane."
"Öğretmen her şeyi öğretebilecek mi?","Will the teacher be able to teach everything?","Is the teacher be able to teach everything?","Will the teacher be able to teaches everything?"
"Hiçbir şeye dokunmadık.","We touched nothing.","We didn't touch nothing.","We did touched nothing."
"Bir şey alabilir miyim?","Can I take something?","Do I can take something?","Can I takes something?"
"Öğrenci kitabı bitirebilecek mi?","Will the student be able to finish the book?","Is the student be able to finish the book?","Will the student be able to finished the book?"
"Biri parayı sayabildi mi?","Could somebody count the money?","Could somebody counted the money?","Did somebody could count the money?"
"Hiç kimse kutuyu açamayacak.","Nobody will be able to open the box.","Nobody won't be able to open the box.","Nobody are will be able to open the box."
"Hemşire kan alabilir mi?","Can the nurse take blood?","Does the nurse can take blood?","Can the nurse takes blood?"
"Polis trafiği durdurabildi mi?","Could the police stop the traffic?","Could the police stopped the traffic?","Did the police could stop the traffic?"
"Herkes mesaj gönderebilir.","Everybody can send a message.","Everybody can sends a message.","Everybody are can send a message."
"Pilot kapıyı kapatamadı.","The pilot couldn't close the door.","The pilot didn't could close the door.","The pilot wasn't close the door."
"Öğretmen bir şey alacak mı?","Will the teacher buy something?","Does the teacher will buy something?","Will the teacher buys something?"
"Hiç kimse bilgisayara dokunamaz.","Nobody can touch the computer.","Nobody can't touch the computer.","Nobody can touches the computer."
"Öğrenci ödevi verebilecek mi?","Will the student be able to give the homework?","Is the student be able to give the homework?","Will the student be able to gave the homework?"
