"Question","Correct Answer","Wrong 1","Wrong 2"
"Öğrenciler çalışmadıklarından dolayı sınavı bitiremediler.","The students couldn't finish the exam because they didn't study.","The students couldn't finished the exam because they didn't study.","The students couldn't finish the exam because they didn't studied."
"Her yerde buz olmasına rağmen pilot uçağı indirebildi.","The pilot could land the plane although there was ice everywhere.","The pilot could to land the plane although there was ice everywhere.","The pilot could landed the plane although there was ice everywhere."
"Hemşireyi aramadan önce doktor hastayı muayene etmişti.","The doctor had examined the patient before he called the nurse.","The doctor has examined the patient before he called the nurse.","The doctor had examine the patient before he called the nurse."
"Öğrenciler kitapları aldıktan sonra öğretmen parayı saydı.","The teacher counted the money after the students bought the books.","The teacher counted the money after the students buyed the books.","The teacher did counted the money after the students bought the books."
"Doktor geldiğinde hemşire odayı temizliyordu.","The nurse was cleaning the room when the doctor came.","The nurse was clean the room when the doctor came.","The nurse was cleaning the room when the doctor comed."
"Ambulans beklerken polis trafiği durduruyordu.","The police were stopping the traffic while the ambulance was waiting.","The police were stop the traffic while the ambulance was waiting.","The police were stopping the traffic while the ambulance waiting."
"Çok yorgun olduklarından dolayı doktorlar dinlenmek zorundalar.","The doctors have to rest because they are very tired.","The doctors having to rest because they are very tired.","The doctors have to resting because they are very tired."
"Zengin olmasına rağmen bankacı arabayı satmıştı.","The banker had sold the car although he was rich.","The banker had selled the car although he was rich.","The banker has sold the car although he was rich."
"Derse girmeden önce öğrenciler beklemek zorundaydı.","The students had to wait before they entered the lesson.","The students musted to wait before they entered the lesson.","The students had to waited before they entered the lesson."
"Uçuş bittikten sonra pilot uçağı park etti.","The pilot parked the plane after the flight finished.","The pilot did parked the plane after the flight finished.","The pilot park the plane after the flight finished."
"Öğrenciler defterleri getirmediğinde öğretmen kızgındı.","The teacher was angry when the students did not bring the notebooks.","The teacher was angry when the students did not brought the notebooks.","The teacher was angry when the students not bring the notebooks."
"Öğretmen sınavı hazırlarken öğrenci kitap okuyordu.","The student was reading a book while the teacher was preparing the exam.","The student was read a book while the teacher was preparing the exam.","The student reading a book while the teacher was preparing the exam."
"İnternet kötü olduğundan dolayı modemi tamir etmek zorundaydım.","I had to repair the modem because the internet was bad.","I had to repaired the modem because the internet was bad.","I had repair the modem because the internet was bad."
"Yağmur yağmasına rağmen şoför arabayı yıkadı.","The driver washed the car although it was raining.","The driver washed the car although it raining.","The driver did washed the car although it was raining."
"Doktor gelmeden önce hemşireler ilacı vermişti.","The nurses had given the medicine before the doctor arrived.","The nurses had gived the medicine before the doctor arrived.","The nurses has given the medicine before the doctor arrived."
"Sistem bozulduktan sonra şifreyi değiştirdik.","We changed the password after the system broke.","We changed the password after the system breaked.","We did changed the password after the system broke."
"Doktor onları aradığında hastalar bekliyordu.","The patients were waiting when the doctor called them.","The patients were wait when the doctor called them.","The patients were waiting when the doctor call them."
"Doktorlar çalışırken polis hastaneyi aramalı.","The police should call the hospital while the doctors are working.","The police should to call the hospital while the doctors are working.","The police should called the hospital while the doctors are working."
"Hasta olduklarından dolayı soğuk su içmemeliler.","They should not drink cold water because they are sick.","They should not to drink cold water because they are sick.","They should not drank cold water because they are sick."
"Geç kalmasına rağmen pilot motoru kontrol etmişti.","The pilot had checked the engine although he was late.","The pilot has checked the engine although he was late.","The pilot had check the engine although he was late."
